date,company,open ,close
20-01-2021,Bajaj Finserv Ltd.,8354.6,"8,924.15"
20-01-2021,Tata Motors Ltd.,245.95,258.65
20-01-2021,Bajaj Finance L,4719.85,"4,959.15"
20-01-2021,HDFC,2566.5,"2,656.95"
20-01-2021,Hindalco Indus.,243.15,251.55
20-01-2021,Adani Ports & Speci,515.5,532.8
20-01-2021,Grasim Inds.,999.2,"1,031.90"
20-01-2021,JSW Steel,383.1,395.4
20-01-2021,Sun Pharma.,581.45,596.55
20-01-2021,Cipla,801.75,822.45
20-01-2021,L&T,1336.05,"1,369.85"
20-01-2021,ICICI Bank,533.15,546.45
20-01-2021,Hero MotoCorp,3163.15,"3,232.90"
20-01-2021,Shree Cement,23846.9,"24,374.50"
20-01-2021,Asian Paints Ltd.,2588.2,"2,645.05"
20-01-2021,Bajaj Auto Ltd.,3563.75,"3,641.00"
20-01-2021,Kotak Mahindra Bank,1846.95,"1,887.00"
20-01-2021,Tata Steel,666.7,681.1
20-01-2021,NTPC,97.55,99.65
20-01-2021,Power Grid Corpo,195.75,199.65
20-01-2021,UltraTech Cement,5386,"5,490.10"
20-01-2021,Axis Bank Ltd.,657,668.75
20-01-2021,Reliance Inds.,1983.95,"2,016.40"
20-01-2021,ONGC,96.65,98.1
20-01-2021,SBI,294.45,298.6
20-01-2021,HDFC Bank,1483.1,"1,503.85"
20-01-2021,Hindustan Unilever L,2332.6,"2,363.15"
20-01-2021,SBI Life Insurance,892.9,904.4
20-01-2021,GAIL (India) Ltd.,137.9,139.65
20-01-2021,Tata Consultancy,3221.75,"3,260.70"
20-01-2021,Maruti Suzuki India,7830.65,"7,922.60"
20-01-2021,Titan Company,1503.55,"1,519.90"
20-01-2021,Coal India,138.7,140.1
20-01-2021,Divi's Lab,3565.3,"3,599.45"
20-01-2021,Bharat Petroleum,409.55,413.45
20-01-2021,Bharti Airtel,586.95,592.3
20-01-2021,IndusInd Bank,932.8,939.9
20-01-2021,Dr. Reddy's Labs,5052.1,"5,088.90"
20-01-2021,Nestle India,17630.7,"17,754.70"
20-01-2021,HDFC Life Insurance,693.95,698.55
20-01-2021,UPL,561.3,564
20-01-2021,Eicher Motors,2873,"2,883.50"
20-01-2021,Infosys,1312.05,"1,316.65"
20-01-2021,Indian Oil Corp,98.3,98.55
20-01-2021,HCL Technologies,981.5,983.85
20-01-2021,Bajaj Finserv Ltd.,8354.6,"8,924.15"
20-01-2021,Tata Motors Ltd.,245.95,258.65
20-01-2021,Bajaj Finance L,4719.85,"4,959.15"
20-01-2021,HDFC,2566.5,"2,656.95"
20-01-2021,Hindalco Indus.,243.15,251.55
20-01-2021,Adani Ports & Speci,515.5,532.8
20-01-2021,Grasim Inds.,999.2,"1,031.90"
20-01-2021,JSW Steel,383.1,395.4
20-01-2021,Sun Pharma.,581.45,596.55
20-01-2021,Cipla,801.75,822.45
20-01-2021,L&T,1336.05,"1,369.85"
20-01-2021,ICICI Bank,533.15,546.45
20-01-2021,Hero MotoCorp,3163.15,"3,232.90"
20-01-2021,Shree Cement,23846.9,"24,374.50"
20-01-2021,Asian Paints Ltd.,2588.2,"2,645.05"
20-01-2021,Bajaj Auto Ltd.,3563.75,"3,641.00"
20-01-2021,Kotak Mahindra Bank,1846.95,"1,887.00"
20-01-2021,Tata Steel,666.7,681.1
20-01-2021,NTPC,97.55,99.65
20-01-2021,Power Grid Corpo,195.75,199.65
20-01-2021,UltraTech Cement,5386,"5,490.10"
20-01-2021,Axis Bank Ltd.,657,668.75
20-01-2021,Reliance Inds.,1983.95,"2,016.40"
20-01-2021,ONGC,96.65,98.1
20-01-2021,SBI,294.45,298.6
20-01-2021,HDFC Bank,1483.1,"1,503.85"
20-01-2021,Hindustan Unilever L,2332.6,"2,363.15"
20-01-2021,SBI Life Insurance,892.9,904.4
20-01-2021,GAIL (India) Ltd.,137.9,139.65
20-01-2021,Tata Consultancy,3221.75,"3,260.70"
